Team Name,Free Transfers,Gameweek 1,Gameweek 1 Cost,Gameweek 2,Gameweek 2 Cost,Gameweek 3,Gameweek 3 Cost,Gameweek 4,Gameweek 4 Cost
McDud,1,0,0,0,0,2,0,0,0
Rarnotts Team,2,0,0,0,0,1,0,0,0
Brighton Rock,2,0,0,0,0,0,0,0,0
The Chairman,1,0,0,0,0,3,-4,0,0
Fight and Win,1,0,0,0,0,2,0,0,0
DANNY KEDWELLS BARMY ARMY,2,0,0,0,0,0,0,0,0
Average Joe,1,0,0,1,0,1,0,0,0
beast fc,2,0,0,0,0,0,0,0,0
Wiseguys,2,0,0,1,0,0,0,0,0
Liamel Mcssi,2,0,0,0,0,0,0,0,0
Better Call Seoul,2,0,0,0,0,0,0,0,0
Charles Dickins,2,0,0,0,0,0,0,0,0
FC BALLBUSTERBILLING,2,0,0,0,0,0,0,0,0
Bank on Dave,1,0,0,0,0,0,0,0,0
TLD FC,1,0,0,0,0,0,0,0,0
